"COMPANY","PRICE","CHANGE_VALUE","CHANGE_DIFF","OPEN","HIGH","LOW"
"SARCO
2030","75.3","-0.1","-0.13","75.2","75.7","74.7"
"SAUDI ARAMCO
2222","27.25","0.1","0.37","27.2","27.3","27.15"
"PETRO RABIGH
2380","8.1","-0.07","-0.86","8.19","8.2","8.07"
"ARABIAN DRILLING
2381","112.8","-1.0","-0.88","114.0","114.2","112.6"
"ADES
2382","19.74","0.12","0.61","19.68","20.02","19.66"
"BAHRI
4030","28.1","0.0","0.0","28.2","28.2","27.85"
"ALDREES
4200","123.2","-1.8","-1.45","124.4","125.0","122.4"
"TAKWEEN
1201","11.9","0.14","1.19","11.9","12.04","11.76"
"MEPCO
1202","43.15","0.75","1.77","42.35","43.5","42.35"
"BCI
1210","32.9","0.9","2.82","32.15","33.1","32.15"
"MAADEN
1211","39.2","0.1","0.26","39.45","39.6","39.05"
"ASLAK
1301","29.0","-0.1","-0.34","29.15","29.4","28.85"
"ALYAMAMAH STEEL
1304","35.15","1.6","4.78","33.6","35.15","33.6"
"SSP
1320","75.5","0.9","1.21","74.6","76.3","74.6"
"EAST PIPES
1321","145.0","0.0","0.0","146.0","146.6","144.0"
"AMAK
1322","69.1","-0.5","-0.72","69.6","70.5","68.9"
"CHEMANOL
2001","17.18","0.22","1.3","16.98","17.38","16.82"
"SABIC
2010","72.5","-0.2","-0.28","72.8","73.1","72.3"
"SABIC AGRI-NUTRIENTS
2020","110.2","-1.0","-0.9","111.8","112.2","110.2"
"TASNEE
2060","10.98","-0.04","-0.36","11.0","11.04","10.92"
"NGC
2090","23.74","0.1","0.42","23.64","23.88","23.64"
"ZOUJAJ
2150","50.2","-0.9","-1.76","51.6","51.6","49.8"
"ALUJAIN
2170","39.85","0.25","0.63","39.65","40.0","39.4"
"FIPCO
2180","49.1","1.35","2.83","47.8","49.2","47.7"
"APC
2200","135.6","0.6","0.44","134.2","136.6","134.2"
"NAMA CHEMICALS
2210","28.6","-0.45","-1.55","28.95","29.4","28.4"
"MAADANIYAH
2220","16.5","0.0","0.0","16.42","16.68","16.42"
"LUBEREF
2223","129.2","0.0","0.0","130.0","130.6","128.0"
"ZAMIL INDUST
2240","26.35","0.3","1.15","26.3","27.1","26.2"
"SIIG
2250","19.5","0.34","1.78","19.2","19.6","19.16"
"YANSAB
2290","39.7","-0.2","-0.5","39.8","40.1","39.6"
"SPM
2300","65.0","-0.9","-1.37","65.9","66.3","64.5"
"SIPCHEM
2310","27.7","-0.05","-0.18","27.75","27.95","27.7"
"ADVANCED
2330","37.5","0.3","0.81","37.55","37.8","37.35"
"SAUDI KAYAN
2350","7.92","0.01","0.13","7.95","7.97","7.9"
"SVCP
2360","42.85","-0.35","-0.81","43.0","43.2","42.5"
"NAJRAN CEMENT
3002","8.93","0.08","0.9","8.9","8.93","8.87"
"CITY CEMENT
3003","17.24","0.14","0.82","17.1","17.24","17.08"
"NORTHERN CEMENT
3004","9.04","-0.03","-0.33","9.07","9.13","9.02"
"UACC
3005","16.3","0.08","0.49","16.2","16.42","16.18"
"OASIS
3007","36.0","0.0","0.0","35.85","36.15","35.8"
"ALKATHIRI
3008","2.84","0.01","0.35","2.82","2.84","2.82"
"ACC
3010","25.35","0.1","0.4","25.3","25.4","25.1"
"YC
3020","31.35","-0.1","-0.32","31.5","31.7","31.15"
"SAUDI CEMENT
3030","41.0","0.05","0.12","40.9","41.05","40.85"
"QACCO
3040","51.7","0.0","0.0","51.6","51.9","51.5"
"SPCC
3050","34.0","-0.1","-0.29","34.05","34.2","33.85"
"YCC
3060","23.66","-0.04","-0.17","23.8","23.8","23.64"
"EPCCO
3080","32.65","0.25","0.77","32.5","32.95","32.5"
"TCC
3090","12.8","-0.16","-1.23","12.96","13.0","12.8"
"JOUF CEMENT
3091","10.6","0.02","0.19","10.58","10.62","10.54"
"RIYADH CEMENT
3092","25.65","0.1","0.39","25.65","25.8","25.4"
"ASTRA INDUSTRIAL
1212","166.2","-2.4","-1.42","168.8","169.0","164.2"
"SHAKER
1214","27.6","0.25","0.91","27.8","28.1","27.3"
"BAWAN
1302","39.6","0.5","1.28","39.2","39.75","39.15"
"EIC
1303","6.6","0.01","0.15","6.66","6.66","6.56"
